"","IssuerCompany","IssueOpenDate","IssueCloseDate","IssuePrice","IssueType","IssueSize","IPOYear"
"175","Vascon Engineers Limited",2010-01-27,2010-01-29,165,"BB",178.2,2010
"176","D B Realty Limited",2010-01-29,2010-02-02,468,"BB",NA,2010
"177","Emmbi Polyarns Limited",2010-02-01,2010-02-03,45,"BB",38.96,2010
"178","ARSS Infrastructure Projects Ltd",2010-02-08,2010-02-11,450,"BB",103,2010
"179","Hathway Cable & Datacom Ltd",2010-02-09,2010-02-11,240,"BB",666,2010
"180","Texmo Pipes & Products Ltd",2010-02-16,2010-02-19,90,"BB",45,2010
"181","Man Infraconstruction Ltd",2010-02-18,2010-02-22,252,"BB",141.75,2010
"182","United Bank of India",2010-02-23,2010-02-25,66,"BB",324.98,2010
"183","DQ Entertainment (International) Ltd",2010-03-08,2010-03-10,80,"BB",128.16,2010
"184","Pradip Overseas Limited",2010-03-11,2010-03-15,110,"BB",116.6,2010
"185","IL&FS Transportation Networks Ltd",2010-03-11,2010-03-15,258,"BB",700,2010
"186","Persistent Systems Limited",2010-03-17,2010-03-19,310,"BB",168.01,2010
"187","Shree Ganesh Jewellery House Ltd",2010-03-19,2010-03-23,260,"BB",371.02,2010
"188","Goenka Diamond & Jewels Ltd",2010-03-23,2010-03-26,135,"BB",126.51,2010
"189","Intrasoft Technologies Limited",2010-03-23,2010-03-26,145,"BB",53.65,2010
"190","Talwalkars Better value Fitness Ltd",2010-04-21,2010-04-23,128,"BB",77.44,2010
"191","Nitesh Estates Limited",2010-04-23,2010-04-27,54,"BB",405,2010
"192","Tarapur Transformers Limited",2010-04-26,2010-04-28,75,"BB",63.75,2010
"193","Mandhana Industries Limited",2010-04-27,2010-04-29,130,"BB",107.9,2010
"194","Tara Health Foods Limited",2010-04-28,2010-04-30,0,"BB",NA,2010
"195","Jaypee Infratech Ltd",2010-04-29,2010-05-04,102,"BB",NA,2010
"196","SJVN Ltd (Satluj Jal Vidyut Nigam Ltd)",2010-04-29,2010-05-03,26,"BB",NA,2010
"197","Fatpipe Networks India Limited",2010-06-07,2010-06-09,NA,"BB",NA,2010
"198","Parabolic Drugs Limited",2010-06-14,2010-06-17,75,"BB",200,2010
"199","Aster Silicates Ltd",2010-06-24,2010-06-28,118,"BB",53.1,2010
"200","Technofab Engineering Ltd",2010-06-29,2010-07-02,240,"BB",71.66,2010
"201","Hindustan Media Ventures Ltd",2010-07-05,2010-07-07,166,"BB",270,2010
"202","Midfield Industries Ltd",2010-07-19,2010-07-21,133,"BB",59.85,2010
"203","SKS Microfinance Ltd",2010-07-28,2010-08-02,985,"BB",NA,2010
"204","Bajaj Corp Limited",2010-08-02,2010-08-05,660,"BB",297,2010
"205","Prakash Steelage Ltd",2010-08-05,2010-08-10,110,"BB",68.75,2010
"206","Gujarat Pipavav Port Ltd (GPPL)",2010-08-23,2010-08-26,46,"BB",500,2010
"207","Indosolar Ltd",2010-09-13,2010-09-15,29,"BB",357,2010
"208","Career Point Infosystems Ltd",2010-09-16,2010-09-21,310,"BB",115,2010
"209","Eros International Media Ltd",2010-09-17,2010-09-21,175,"BB",350,2010
"210","Microsec Financial Services Ltd",2010-09-17,2010-09-21,118,"BB",147.5,2010
"211","Electrosteel Integrated Ltd",2010-09-21,2010-09-24,11,"BB",248.07,2010
"212","Ramky Infrastructure Ltd",2010-09-21,2010-09-23,450,"BB",530,2010
"213","Orient Green Power Company Ltd",2010-09-21,2010-09-24,47,"BB",900,2010
"214","Cantabil Retail India Ltd",2010-09-22,2010-09-27,135,"BB",105,2010
"215","Gallantt Ispat Ltd",2010-09-22,2010-09-24,50,"FP",40.5,2010
"216","VA Tech Wabag Ltd",2010-09-22,2010-09-27,NA,"BB",125,2010
"217","Tecpro Systems Ltd",2010-09-23,2010-09-28,355,"BB",267.91,2010
"218","Ashoka Buildcon Ltd",2010-09-24,2010-09-28,324,"BB",225,2010
"219","Sea TV Network Ltd",2010-09-27,2010-09-29,100,"BB",50.2,2010
"220","Bedmutha Industries Ltd",2010-09-28,2010-10-01,102,"BB",91.8,2010
"221","Commercial Engineers & Body Builders Co Ltd",2010-09-30,2010-10-05,127,"BB",153,2010
"222","BS Transcomm Ltd",2010-10-06,2010-10-13,248,"BB",190.45,2010
"223","Oberoi Realty Ltd",2010-10-06,2010-10-08,260,"BB",NA,2010
"224","Prestige Estates Projects Ltd",2010-10-12,2010-10-14,183,"BB",NA,2010
"225","Gyscoal Alloys Ltd",2010-10-13,2010-10-15,71,"BB",54.67,2010
"226","Coal India Limited",2010-10-18,2010-10-21,245,"BB",NA,2010
"227","Gravita India Ltd",2010-11-01,2010-11-03,125,"BB",45,2010
"228","RPP Infra Projects Ltd",2010-11-18,2010-11-22,75,"BB",48.75,2010
"229","Claris Lifesciences Limited",2010-11-24,2010-12-02,228,"BB",300,2010
"230","MOIL Limited",2010-11-26,2010-12-01,375,"BB",NA,2010
"231","Ravi Kumar Distilleries Ltd",2010-12-08,2010-12-10,64,"BB",73.6,2010
"232","A2Z Maintenance & Engineering Services Ltd",2010-12-08,2010-12-10,400,"BB",675,2010
"233","Punjab & Sind Bank",2010-12-13,2010-12-16,120,"BB",470.82,2010
"234","Shekhawati Poly-Yarn Ltd",2010-12-27,2010-12-29,30,"FP",36,2010
"235","C Mahendra Exports Ltd",2010-12-31,2011-01-06,110,"BB",165,2010
"236","Midvalley Entertainment Ltd",2011-01-10,2011-01-12,70,"BB",60,2011
"237","Omkar Speciality Chemicals Ltd",2011-01-24,2011-01-27,98,"BB",79.38,2011
"238","Sudar Garments Ltd",2011-02-21,2011-02-24,77,"BB",69.98,2011
"239","Acropetal Technologies Ltd",2011-02-21,2011-02-24,90,"BB",170,2011
"240","Fineotex Chemical Ltd",2011-02-23,2011-02-25,70,"BB",29.48,2011
"241","Lovable Lingeries Ltd",2011-03-08,2011-03-11,205,"BB",93.28,2011
"242","PTC India Financial Services Ltd",2011-03-16,2011-03-18,28,"BB",438.76,2011
"243","Shilpi Cable Technologies Ltd",2011-03-22,2011-03-25,69,"BB",55.88,2011
"244","Muthoot Finance Ltd",2011-04-18,2011-04-21,175,"BB",901.25,2011
"245","Paramount Printpackaging Ltd",2011-04-20,2011-04-25,35,"BB",45.83,2011
"246","Future Ventures India Ltd",2011-04-25,2011-04-28,10,"BB",750,2011
"247","Innoventive Industries Ltd",2011-04-26,2011-04-29,117,"BB",219.58,2011
"248","Servalakshmi Paper Ltd",2011-04-27,2011-04-29,29,"BB",60,2011
"249","Vaswani Industries Ltd",2011-04-29,2011-05-03,49,"BB",115.1,2011
"250","Sanghvi Forging & Engineering Ltd",2011-05-04,2011-05-09,85,"BB",36.9,2011
"251","Aanjaneya Lifecare Ltd",2011-05-09,2011-05-12,234,"BB",117,2011
"252","Galaxy Surfactants Ltd",2011-05-13,2011-05-19,0,"BB",NA,2011
"253","VMS Industries Ltd",2011-05-30,2011-06-02,40,"BB",25.75,2011
"254","Timbor Home Limited",2011-05-30,2011-06-02,63,"BB",23.25,2011
"255","Birla Pacific Medspa Ltd",2011-06-20,2011-06-23,10,"BB",65.18,2011
"256","Rushil Decor Ltd",2011-06-20,2011-06-23,72,"BB",40.64,2011
"257","Readymade Steel India Ltd",2011-06-27,2011-06-29,108,"BB",34.75,2011
"258","Bharatiya Global Infomedia Ltd",2011-07-11,2011-07-14,82,"BB",55.1,2011
"259","Inventure Growth & Securities Ltd",2011-07-20,2011-07-22,117,"BB",81.9,2011
"260","L&T Finance Holdings Limited",2011-07-27,2011-07-29,52,"BB",NA,2011
"261","Tree House Education & Accessories Ltd",2011-08-10,2011-08-12,135,"BB",113.83,2011
"262","Brooks Laboratories Ltd",2011-08-16,2011-08-18,100,"BB",63,2011
"263","SRS Limited",2011-08-23,2011-08-26,58,"BB",203,2011
"264","TD Power Systems Ltd",2011-08-24,2011-08-26,256,"BB",227,2011
"265","PG Electroplast Limited",2011-09-07,2011-09-12,210,"BB",120.65,2011
"266","Prakash Constrowell Ltd",2011-09-19,2011-09-21,138,"BB",60,2011
"267","RDB Rasayans Ltd",2011-09-21,2011-09-23,79,"BB",35.55,2011
"268","Swajas Air Charters Ltd",2011-09-26,2011-10-05,90,"BB",NA,2011
"269","Tijaria Polypipes Ltd",2011-09-27,2011-09-29,60,"FP",60,2011
"270","Onelife Capital Advisors Ltd",2011-09-28,2011-10-04,110,"BB",36.85,2011
"271","M and B Switchgears Ltd",2011-09-28,2011-10-05,186,"BB",93,2011
"272","Taksheel Solutions Ltd",2011-09-29,2011-10-04,150,"BB",82.5,2011
"273","Flexituff International Ltd",2011-09-29,2011-10-05,155,"BB",104.63,2011
"274","Indo Thai Securities Limited",2011-09-30,2011-10-05,74,"BB",29.6,2011
"275","Goodwill Hospital & Research Centre Ltd",2011-12-30,2012-01-09,NA,"BB",NA,2011
"276","Multi Commodity Exchange of India Ltd",2012-02-22,2012-02-24,NA,"BB",663.31,2012
"277","BCB Finance Ltd",2012-02-23,2012-02-27,25,"FP",8.85,2012
"278","Olympic Cards Ltd",2012-03-09,2012-03-13,30,"BB",25,2012
"279","National Buildings Construction Corporation Ltd",2012-03-22,2012-03-27,106,"BB",127.2,2012
"280","MT Educare Limited",2012-03-27,2012-03-29,80,"BB",35,2012
"281","Tribhovandas Bhimji Zaveri Ltd",2012-04-24,2012-04-26,120,"BB",200,2012
"282","Samvardhana Motherson Finance Ltd",2012-05-02,2012-05-04,NA,"BB",NA,2012
"283","Plastene India Limited",2012-05-09,2012-05-15,NA,"BB",NA,2012
"284","Monarch Health Services Ltd",2012-05-12,2012-05-16,40,"FP",12,2012
"285","Speciality Restaurants Ltd",2012-05-16,2012-05-18,150,"BB",176.09,2012
"286","Max Alert Systems Ltd",2012-06-28,2012-07-02,20,"FP",0,2012
"287","VKS Projects Ltd",2012-06-29,2012-07-04,55,"BB",55,2012
"288","Sangam Advisors Ltd",2012-07-24,2012-07-26,22,"FP",0,2012
"289","Jupiter Infomedia Ltd",2012-07-30,2012-08-01,20,"FP",0,2012
"290","Jointeca Education Solutions Ltd",2012-08-16,2012-08-21,15,"FP",5.35,2012
"291","SRG Housing Finance Ltd",2012-08-22,2012-08-28,20,"FP",7.01,2012
"292","Thejo Engineering Ltd",2012-09-04,2012-09-06,402,"BB",19,2012
"293","Comfort Commotrade Ltd",2012-09-05,2012-09-10,10,"FP",6,2012
"294","Anshu's Clothing Limited",2012-09-26,2012-09-28,27,"FP",5.05,2012
"295","RCL Retail Limited",2012-09-27,2012-10-01,10,"FP",0,2012
"296","Bronze infra-tech Ltd",2012-10-19,2012-10-23,15,"FP",0,2012
"297","Tara Jewels Limited",2012-11-21,2012-11-23,230,"BB",183.49,2012
"298","Veto Switchgears and Cables Ltd",2012-12-03,2012-12-05,50,"BB",25,2012
"299","Credit Analysis & Research Ltd",2012-12-07,2012-12-11,750,"BB",539.98,2012
"300","PC Jeweller Ltd",2012-12-10,2012-12-12,135,"BB",609.3,2012
"301","Bharti Infratel Limited",2012-12-11,2012-12-14,220,"BB",NA,2012
"302","Eco Friendly Food Processing Park Ltd",2012-12-27,2012-12-31,25,"FP",7.52,2012
"303","Esteem Bio Organic Food Processing Ltd",2013-01-18,2013-01-22,25,"FP",11.25,2013
"304","V-Mart Retail Ltd",2013-02-01,2013-02-05,210,"BB",94.42,2013
"305","Sai Silks (Kalamandir) Ltd",2013-02-11,2013-02-13,NA,"BB",NA,2013
"306","Sunstar Realty Development Ltd",2013-02-18,2013-02-21,20,"FP",10.62,2013
"307","Kavita Fabrics Ltd",2013-02-20,2013-02-22,40,"FP",5.1,2013
"308","Channel Nine Entertainment Ltd",2013-02-22,2013-02-26,25,"FP",11.67,2013
"309","HPC Biosciences Ltd",2013-03-01,2013-03-05,35,"FP",15.75,2013
