Date,Open,High,Low,Close,DMA7,DMA15,DMA50,DMA100,DMA200
9-Apr-14,22389.21,22740.04,22379.95,22702.34,22419.46,22162.57,21241.72,21083.9,20390
10-Apr-14,22729.46,22792.49,22644.43,22715.33,22471.22,22220.54,21265.92,21106.93,20409.88
11-Apr-14,22642.05,22679.18,22526.89,22628.96,22518.23,22285.55,21305.81,21125.57,20429.06
15-Apr-14,22698.09,22737.31,22416.24,22484.93,22544.31,22343.9,21346.45,21142.95,20448.68
16-Apr-14,22486.73,22533.61,22247.39,22277.23,22534.8,22392.54,21386.08,21161.45,20466.83
17-Apr-14,22327.76,22648.69,22312.19,22628.84,22501.68,22407.32,21425.82,21181.93,20487.11
21-Apr-14,22644.75,22795.58,22636.75,22764.83,22540.15,22445.57,21461.08,21206.05,20506.46
22-Apr-14,22771.24,22853.03,22727.63,22758.37,22600.35,22490.2,21509.48,21227.64,20523.19
23-Apr-14,22783.65,22912.52,22780.13,22876.54,22608.36,22526.47,21560.53,21250.98,20539.6
25-Apr-14,22892.5,22939.31,22656.64,22688.07,22631.39,22562.24,21610.48,21275.54,20555.64
28-Apr-14,22717.59,22721.36,22597.19,22631.61,22639.83,22582.36,21661.8,21297.07,20572.83
29-Apr-14,22654.28,22681.89,22443.56,22466.19,22660.78,22594.7,21708.03,21315.47,20588.03
30-Apr-14,22517.63,22680.46,22284.96,22417.8,22687.78,22589.02,21753.97,21331.15,20602.56
2-May-14,22493.59,22575.62,22386.95,22403.89,22657.63,22582.93,21796.03,21346.78,20617.88
5-May-14,22412.8,22592.03,22354.45,22445.12,22606.07,22585.89,21835.42,21363.73,20632.84
6-May-14,22512.23,22602.71,22475.65,22508.42,22561.32,22592.67,21879.63,21378.6,20648.83
7-May-14,22488.96,22532.82,22286.26,22323.9,22508.73,22579.74,21921.19,21393.72,20662
8-May-14,22382.14,22443.13,22277.04,22344.04,22456.7,22553.65,21962.08,21403.7,20673.87
9-May-14,22374.98,23048.49,22317.18,22994.23,22415.62,22534.65,21995.87,21414.59,20688.59
12-May-14,23031.11,23572.88,23008.65,23551,22491.06,22568.61,22028.3,21432.81,20707
13-May-14,23729.78,24068.94,23729.25,23871.23,22652.94,22653.52,22077.45,21459.07,20726.52
14-May-14,23897.88,23964.67,23753.36,23815.12,22862.56,22736.35,22134.45,21490.62,20744.86
15-May-14,23809.42,23971.78,23742.75,23905.6,23058.28,22806.37,22195.65,21522.18,20763.54
16-May-14,24271.54,25375.63,23873.16,24121.74,23257.87,22882.85,22254.9,21555.12,20783.26
19-May-14,24340.32,24448.47,24107.99,24363.05,23514.71,22965.86,22313.27,21587.73,20803.46
20-May-14,24555.31,24587.16,24299.53,24376.88,23803.14,23077.53,22373.31,21624.28,20824.79
21-May-14,24404.48,24419.54,24156.47,24298.02,24000.66,23193.88,22441.63,21657.25,20847.14
22-May-14,24415.42,24524.76,24326.48,24374.4,24107.38,23316,22504.98,21689.22,20870.16
23-May-14,24535.14,24745.86,24470.78,24693.35,24179.26,23446.44,22565.4,21722.64,20895.53
26-May-14,24913.89,25175.22,24433.9,24716.88,24304.72,23599.07,22622.61,21758.82,20922.24
27-May-14,24748.1,24777.31,24422.33,24549.51,24420.62,23750.52,22678.08,21794.06,20948.13
28-May-14,24591.61,24643.33,24488.81,24556.09,24481.73,23886.6,22733.72,21828.12,20974.19
29-May-14,24523.13,24528.2,24206.5,24234.15,24509.3,24035.41,22788.18,21861.98,20999.42
30-May-14,24300.99,24353.59,24163.62,24217.34,24488.91,24161.42,22842.18,21892.91,21024.47
2-Jun-14,24368.96,24709.09,24270.2,24684.85,24477.39,24242.96,22891.37,21926.2,21054.08
3-Jun-14,24729.22,24892.06,24626.97,24858.59,24521.74,24318.55,22939.52,21964.54,21084.89
4-Jun-14,24909.03,24925.9,24773.93,24805.83,24545.34,24384.37,22996.57,22005.25,21114.83
5-Jun-14,24828.38,25044.06,24644.88,25019.51,24558.05,24450.42,23057.08,22046.38,21145.04
6-Jun-14,25204.95,25419.14,25129.76,25396.46,24625.19,24524.68,23118.4,22089.28,21175.72
9-Jun-14,25543.6,25644.77,25496.84,25580.21,24745.25,24609.66,23183.71,22136.11,21206.63
10-Jun-14,25706.35,25711.11,25347.33,25583.69,24937.54,24690.8,23256.54,22184.33,21241.38
11-Jun-14,25650.62,25725.12,25400.15,25473.89,25132.73,24771.26,23327.03,22228.82,21277.03
12-Jun-14,25597.21,25611.32,25409.69,25576.21,25245.45,24849.65,23397.6,22273.23,21313.5
13-Jun-14,25677.05,25688.31,25171.61,25228.17,25347.97,24929.77,23465.17,22316.1,21349.93
16-Jun-14,25239.5,25268.41,25063.93,25190.48,25408.31,24965.43,23532.41,22355.73,21384.15
17-Jun-14,25189.46,25545.88,25104.5,25521.19,25432.73,24997,23590.17,22397,21418.98
18-Jun-14,25565.19,25609.28,25114.3,25246.25,25450.55,25061.78,23646.26,22440.16,21452.26
19-Jun-14,25327.09,25425.85,25069.66,25201.8,25402.84,25107.79,23707.75,22480.11,21488.24
20-Jun-14,25237.54,25276.31,25056.18,25105.51,25348.28,25172.3,23761.65,22518.75,21523.61
23-Jun-14,25108.09,25197.5,24878.66,25031.32,25295.66,25231.51,23815.5,22556.07,21556.6
24-Jun-14,25115.83,25414.69,25115.83,25368.9,25217.82,25254.61,23870.42,22595.05,21590.18
25-Jun-14,25421.49,25427.8,25274.39,25313.74,25237.92,25288.63,23924.18,22641.66,21622.16
26-Jun-14,25217.69,25309.33,25021.23,25062.67,25255.53,25322.49,23977.51,22687.96,21656.13
27-Jun-14,25132.08,25209.61,25032.94,25099.92,25190.03,25325.37,24029.48,22732.12,21688.63
30-Jun-14,25179.55,25460.96,25179.55,25413.78,25169.12,25305.6,24078.15,22778.13,21720.64
1-Jul-14,25469.94,25571.9,25466.77,25516.35,25199.41,25294.5,24130.45,22827.13,21751.71
2-Jul-14,25660.57,25864.53,25660.16,25841.21,25258.1,25290.01,24193.18,22880.2,21780.79
3-Jul-14,25875.75,25999.08,25793.7,25823.75,25373.8,25314.5,24250.93,22936.5,21809.77
4-Jul-14,25844.8,25981.51,25659.33,25962.06,25438.77,25331,24312.46,22992.12,21840.52
7-Jul-14,26039.67,26123.55,25992.73,26100.08,25531.39,25379.93,24373.77,23048.64,21872.2
8-Jul-14,26166.92,26190.44,25495.04,25582.11,25679.59,25440.57,24435.48,23105.87,21901.25
9-Jul-14,25615.28,25683.97,25364.77,25444.81,25748.48,25444.63,24503.72,23158.35,21929.32
10-Jul-14,25513.74,25920.46,25117,25372.75,25752.91,25457.87,24562.73,23209.17,21956.23
11-Jul-14,25488.86,25548.33,24978.33,25024.35,25732.4,25469.26,24622.3,23258.41,21978.01
14-Jul-14,25093.16,25095.76,24892,25006.98,25615.7,25463.85,24681.4,23306.72,22001.61
15-Jul-14,25100.9,25254.48,25020.32,25228.65,25499.02,25462.23,24733.81,23353.12,22028.12
16-Jul-14,25322.17,25602.78,25246.75,25549.72,25394.25,25452.88,24785.05,23400.77,22056.13
17-Jul-14,25540.92,25613.03,25494.46,25561.16,25315.62,25468.61,24839.45,23449.92,22084.51
18-Jul-14,25558.48,25713.4,25441.24,25641.56,25312.63,25501.85,24903.97,23498.3,22113.1
21-Jul-14,25776.54,25861.15,25677.71,25715.17,25340.74,25537.95,24968.31,23549.35,22142.89
22-Jul-14,25784.48,26050.38,25780.39,26025.8,25389.66,25558.05,25021.26,23599.5,22175.96
23-Jul-14,26130.26,26188.64,26000.4,26147.33,25532.72,25592.01,25064.54,23651.64,22208.95
24-Jul-14,26188.5,26292.66,26077.7,26271.85,25695.63,25612.42,25107.63,23704.59,22240.64
25-Jul-14,26257.14,26300.17,26007.31,26126.75,25844.66,25642.29,25154.28,23757.44,22271.54
28-Jul-14,26173.47,26181.83,25900.25,25991.23,25927.09,25653.27,25201.6,23807.5,22301.86
30-Jul-14,26005.14,26113.48,25850.04,26087.42,25988.53,25646.01,25241.7,23857.95,22332.23
31-Jul-14,26105.89,26118.88,25853.69,25894.97,26052.22,25679.7,25274.27,23906.73,22360.32
1-Aug-14,25753.92,25862.68,25459.13,25480.84,26077.91,25709.71,25308.48,23952.91,22386.23
4-Aug-14,25631.68,25754.42,25531.38,25723.16,26000.06,25716.92,25340.42,23992.58,22412.07
5-Aug-14,25817.84,25928.32,25562.36,25908.01,25939.46,25763.51,25362.54,24030.61,22438.44
6-Aug-14,25892.55,25901.68,25621.85,25665.27,25887.48,25823.57,25383.14,24070.34,22463.9
7-Aug-14,25668.71,25778.05,25526.05,25589.01,25821.56,25852.68,25406.96,24108.73,22489.64
8-Aug-14,25406.87,25406.87,25232.82,25329.14,25764.1,25855.3,25429.28,24146.06,22511.76
11-Aug-14,25476.87,25553.44,25437.05,25519.24,25655.77,25839.83,25449.94,24181.6,22534.78
12-Aug-14,25703.78,25904.98,25645.79,25880.77,25602.1,25831.68,25471.84,24218.7,22559.73
13-Aug-14,25861.47,25972.62,25791.79,25918.95,25659.23,25842.72,25497.87,24259.18,22585.36
14-Aug-14,25948.3,26135,25945.35,26103.23,25687.2,25835.6,25521.79,24300.04,22612.11
18-Aug-14,26123.69,26413.11,26075.28,26390.96,25715.09,25832.66,25543,24343.67,22640.51
19-Aug-14,26482.56,26530.67,26387.84,26420.67,25818.76,25840.6,25568.95,24390.04,22669.61
20-Aug-14,26496.29,26504.52,26277.61,26314.29,25937.57,25860.19,25596.38,24436.7,22696.41
21-Aug-14,26322.66,26464.8,26262.52,26360.11,26078.3,25881.73,25616.86,24479.29,22722.91
22-Aug-14,26419.53,26508.27,26383.16,26419.55,26198.43,25899.91,25631.54,24522.34,22749.05
25-Aug-14,26490.31,26630.74,26401.64,26437.02,26275.39,25934.88,25647.07,24565.58,22775.12
26-Aug-14,26349.87,26481.97,26314.89,26442.81,26349.4,25998.63,25665.98,24607.8,22801.01
27-Aug-14,26553.24,26599.12,26492.5,26560.15,26397.92,26046.6,25683.2,24648.83,22828.8
28-Aug-14,26620.18,26674.38,26573.69,26638.11,26422.09,26090.08,25707.49,24690.57,22857.37
1-Sep-14,26733.18,26900.3,26732.39,26867.55,26453.15,26154.93,25734.89,24732.49,22887.44
2-Sep-14,26888.21,27082.85,26886.22,27019.39,26532.19,26240.17,25757.22,24775.65,22919.05
3-Sep-14,27128.06,27225.85,27067.02,27139.94,26626.37,26352.85,25789.65,24820.75,22952.13
4-Sep-14,27164.95,27169.12,26972.39,27085.93,26729.28,26460.9,25826,24868.56,22985.98
5-Sep-14,27127.26,27178.8,26920.56,27026.7,26821.98,26541.24,25866.69,24915.98,23019.97
8-Sep-14,27145.12,27354.99,27144.56,27319.85,26905.4,26615.09,25907.78,24959.22,23054.4
9-Sep-14,27316.43,27328.27,27177.09,27265.32,27013.92,26696.2,25940.94,25005.27,23086.32
10-Sep-14,27230.94,27251.44,27018.11,27057.41,27103.53,26754.49,25981.06,25051.63,23117
11-Sep-14,27143.22,27150.78,26904.5,26995.87,27130.65,26796.94,26025.11,25097.36,23148.64
12-Sep-14,27048.15,27096.87,26965.91,27061.04,27127.29,26842.38,26064.26,25144.54,23182.63
15-Sep-14,26998.07,26998.07,26790.91,26816.56,27116.02,26889.11,26095.91,25188.87,23215.46
16-Sep-14,26854.9,26861.29,26464.03,26492.51,27077.54,26915.58,26126.8,25229.38,23244.75
17-Sep-14,26627.21,26682.64,26511.71,26631.29,27001.22,26919.28,26146.31,25266.73,23275.63
18-Sep-14,26573.89,27132.2,26503.08,27112.21,26902.86,26931.84,26159.68,25304.27,23308.92
19-Sep-14,27139.39,27247.17,27047.68,27090.42,26880.98,26968.65,26173.07,25348.51,23341.54
22-Sep-14,27008.12,27254.8,26918.93,27206.74,26885.7,26998.8,26193.31,25393.1,23373.45
23-Sep-14,27244.98,27256.87,26744.07,26775.69,26915.82,27021.41,26223.48,25440.51,23402.69
24-Sep-14,26817.94,26844.7,26560,26744.69,26875.06,27005.17,26258.71,25484.09,23432
25-Sep-14,26808.66,26814.2,26349.55,26468.36,26864.79,26978.82,26286.77,25527.5,23460.65
26-Sep-14,26429.3,26721.03,26220.49,26626.32,26861.34,26937.64,26321.18,25567.73,23488.85
29-Sep-14,26694.41,26715.77,26518.01,26597.11,26860.63,26910.95,26350.41,25608.91,23516.72
30-Sep-14,26610.71,26851.33,26481.31,26630.51,26787.05,26862.77,26378.36,25651.64,23543.11
1-Oct-14,26681.47,26683.7,26548.22,26567.99,26721.35,26820.45,26399.31,25694.5,23569.54
7-Oct-14,26487.51,26570.38,26250.24,26271.97,26630.1,26787.82,26420.7,25730.24,23594.91
8-Oct-14,26229.67,26338.31,26150.09,26246.79,26558.14,26739.56,26439.22,25757.45,23621.39
9-Oct-14,26394.37,26688.7,26394.21,26637.28,26487.01,26685.28,26450.36,25781.21,23650.85
10-Oct-14,26551.74,26555.92,26261.61,26297.38,26511.14,26673.33,26454.78,25809.43,23678.9
13-Oct-14,26275.07,26443.16,26092.69,26384.07,26464.15,26660.32,26464.58,25833.35,23707.61
14-Oct-14,26537.42,26550.79,26212.01,26349.33,26433.71,26643.84,26465.09,25855.97,23734.92
16-Oct-14,26260.35,26462.08,25933.98,25999.34,26393.54,26592.98,26470.24,25875.83,23761.25
17-Oct-14,25950,26248.54,25910.77,26108.53,26312.31,26520.24,26477.4,25892.06,23786.26
20-Oct-14,26434.16,26517.9,26368.94,26429.85,26288.96,26447.02,26475.64,25910.16,23812.78
21-Oct-14,26552.45,26615.41,26407,26575.65,26315.11,26423.97,26479.91,25930.72,23840.35
22-Oct-14,26782.57,26818.33,26712.21,26787.23,26306.31,26412.7,26498.89,25949.54,23868.77
23-Oct-14,26889.51,26930.23,26827.68,26851.05,26376.29,26433.96,26515.94,25970.24,23896.92
27-Oct-14,26959.57,26994.96,26726.84,26752.9,26443,26448.94,26533.52,25993.26,23924.83
28-Oct-14,26788.73,26907.14,26764.15,26880.82,26500.65,26459.32,26557.24,26015.23,23953.24
29-Oct-14,27017.44,27126.3,26971.16,27098.17,26626.58,26476.01,26580.52,26041.69,23982.88
30-Oct-14,27098.94,27390.6,27088.65,27346.33,26767.95,26511.36,26611.55,26070.5,24015.01
31-Oct-14,27439.06,27894.32,27438.28,27865.83,26898.88,26582.98,26643.13,26097.12,24049.91
3-Nov-14,27943.04,27969.82,27785.4,27860.38,27083.19,26690.92,26672.44,26127.19,24085.1
5-Nov-14,27907.19,28010.39,27857.65,27915.88,27236.5,26772.46,26711.38,26157.73,24121.03
7-Nov-14,27902.71,27980.93,27739.56,27868.63,27388.62,26880.36,26746.52,26186.7,24156.55
10-Nov-14,27919.45,28027.96,27764.75,27874.73,27548.01,26979.33,26777.02,26211.42,24192.18
11-Nov-14,27911.25,27996.92,27790.4,27910.06,27689.99,27081.02,26805.98,26234.36,24227.76
12-Nov-14,27958.64,28126.48,27958.64,28008.9,27805.98,27208.4,26837.19,26257.63,24261.96
13-Nov-14,28048.56,28098.74,27822.7,27940.64,27900.63,27335.09,26868.18,26282.98,24296.33
14-Nov-14,27949.54,28093.23,27912.9,28046.66,27911.32,27435.81,26899.97,26306.62,24329.94
17-Nov-14,28018.68,28205.71,27921.34,28177.88,27937.93,27533.88,26930.04,26334.81,24364.34
18-Nov-14,28209.03,28282.85,28119.95,28163.29,27975.36,27626.59,26962.12,26364.68,24399.66
19-Nov-14,28193.9,28294.01,27963.51,28032.85,28017.45,27714.07,26994.48,26391.1,24433.63
20-Nov-14,28100.84,28118.53,27915.23,28067.56,28040.04,27799.4,27024.98,26418.97,24467.54
21-Nov-14,28100.1,28360.66,28038.4,28334.63,28062.54,27878.52,27048.29,26447.63,24502.35
24-Nov-14,28413.01,28541.96,28394.48,28499.54,28109.07,27960.95,27069.25,26479.92,24537.8
25-Nov-14,28520.76,28541.22,28217.5,28338.05,28188.92,28037.83,27093.14,26514.6,24573.65
26-Nov-14,28321.58,28470.15,28261.31,28386.19,28230.54,28069.31,27121.41,26544.29,24611.85
27-Nov-14,28397.8,28498.3,28307.58,28438.91,28260.3,28104.37,27147.64,26575.02,24650.43
28-Nov-14,28490.71,28822.37,28483.99,28693.99,28299.68,28139.23,27168.97,26608.78,24690.47
1-Dec-14,28748.22,28809.64,28538.44,28559.62,28394.12,28194.26,27192.44,26644.72,24730.57
2-Dec-14,28522.46,28576.39,28386.46,28444.01,28464.42,28239.92,27225.17,26676.18,24770.03
3-Dec-14,28472.32,28504.65,28370.73,28442.71,28480.04,28275.51,27256.45,26705.45,24810.99
4-Dec-14,28616.93,28808.78,28448.95,28562.82,28471.93,28304.44,27284.11,26731.47,24852.53
